Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
"12/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""21:37:00"",""EL REMANSO E21"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""PASAJERO MOTOCICLETA"",""A PIE"",25,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""INDEPENDIENTE"",""-"",""SECUNDARIA"",76001000,1"
"12/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""10:44:00"",""LLERAS CAMARGO E20"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",35,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""INDEPENDIENTE"",""-"",""SECUNDARIA"",76001000,1"
"13/01/2017,""VALLE"",""CALI (CT)"",""Viernes"",""18:30:00"",""SAN BENITO E11"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",28,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""20:00:00"",""LAS AMERICAS E8"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",35,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""COMERCIANTE"",""-"",""SECUNDARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""20:30:00"",""EVARISTO GARCIA E4"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""BICICLETA"",""PASAJERO MOTOCICLETA"",17,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""23:00:00"",""SAN NICOLAS E3"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",25,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""19:10:00"",""ALTO NAPOLES E18"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",44,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""13:40:00"",""ALTO NAPOLES E18"",""URBANA"",""PARQUES"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",35,""FEMENINO"",""SOLTERO"",""-"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""22:40:00"",""SAN NICOLAS E3"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",40,""MASCULINO"",""SOLTERO"",""-"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""17:40:00"",""EL POBLADO II E13"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",32,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""20:55:00"",""JOSE HOLGUIN GARCES E11"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",30,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""AGRICULTOR"",""-"",""SECUNDARIA"",76001000,1"
"14/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""11:50:00"",""NUEVA FLORESTA E12"",""URBANA"",""FRENTE A RESIDENCIAS - VIA PUBLICA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",28,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""PRIMARIA"",76001000,1"
"22/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""0:50:00"",""LA RIVERA I E6"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",36,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
